"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-01","8.50",,"0.00","0.0","0.0",,"41","34",,"  270","  260","17.0","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-02","5.37",,"0.00","0.0","0.0",,"49","33",,"  230","  220","13.0","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-03","3.36",,"0.15","0.0","0.0",,"49","44",,"  250","  230","10.1","15.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-04","4.47",,"0.27","0.0","0.0",,"51","41",,"  300","  330","15.0","23.9","    1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-05","11.41",,"0.00","0.0","0.0",,"42","35",,"  300","  300","25.1","42.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-06","6.04",,"0.04","0.2","0.0",,"45","32",,"  250","  230","16.1","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-07","5.14",,"0.00","0.0","0.0",,"45","36",,"  230","  240","16.1","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-08","9.62",,"0.00","0.0","0.0",,"42","28",,"  270","  280","21.0","35.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-09","4.47",,"0.00","0.0","0.0",,"34","23",,"  300","  290","17.0","25.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-10","6.26",,"0.00","0.0","0.0",,"55","33",,"  240","  220","14.1","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-11","5.37",,"0.00","0.0","0.0",,"69","51",,"  230","  210","15.0","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-12","8.72",,"0.05","0.0","0.0",,"68","43",,"  260","  240","21.9","34.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-13","4.47",,"0.00","0.0","0.0",,"46","37",,"   50","   70","14.1","18.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-14","3.80",,"0.07","0.0","0.0",,"46","39",,"  140","  140","12.1","14.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-15","5.14",,"0.00","0.0","0.0",,"50","41",,"  270","  270","13.0","19.9","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-16","10.29",,"0.11","0.0","0.0",,"49","33",,"  290","  270","21.9","40.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-17","10.74",,"0.00","0.0","0.0",,"33","21",,"  300","  310","23.9","42.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-18","4.92",,"0.37","2.1","0.0",,"37","20",,"  250","  230","17.0","25.9","    1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-19","8.95",,"0.00","0.0","1.2",,"43","27",,"  270","  300","17.0","27.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-20","7.83",,"0.00","0.0","0.0",,"31","20",,"  300","  300","18.1","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-21","4.25",,"0.00","0.0","0.0",,"33","20",,"  360","  300","13.0","19.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-22",,,"0.00","0.0","0.0",,"38","25",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-23",,,"0.00","0.0","0.0",,"47","33",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-24",,,"0.00","0.0","0.0",,"51","37",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-25",,,"0.85","0.0","0.0",,"51","38",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-26",,,"0.00","0.0","0.0",,"46","38",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-27","6.26",,"0.00","0.0","0.0",,"45","37",,"  300","  310","10.1","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-28","8.50",,"0.00","0.0","0.0",,"43","37",,"  300","  290","15.0","28.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-29","6.71",,"0.00","0.0","0.0",,"41","31",,"   10","  310","14.1","23.9",,,,,,,
